code,name,id,Country,Province,District,longitude,latitude,district_populations,new_boreholes,mother_support_groups,community_gardens
chinsanka,Chinsanka Rural Health Centre,oJAWTOKbaY4,Zambia,Luapula,Samfya,29.78609,-11.52,209209,0,0,11
chinweshiba,Chinweshiba Health Post,Iz2oUkyoz8S,Zambia,Luapula,Samfya,29.55622,-11.44441,209209,0,40,0
chiombo,Chiombo Rural Health Centre,ZlrAlDQbFPR,Zambia,Northern,Kasama,30.82025,-10.30756,306462,0,2,25
chipako,Chipako Rural Health Centre,r94gqYYM986,Zambia,Luapula,Samfya,29.67541,-11.54834,209209,0,6,0
chipepo,Chipepo Rural Health Centre,RrfrwNRUUdx,Zambia,Central,Kapiri-Mposhi,28.1035,-14.11262,301722,0,250,
chipeso,Chipeso Rural Health Centre,wypVKyO62UH,Zambia,Central,Chibombo,27.99719,-15.19606,250702,0,270,4
chipili,Chipili Health Post,FHaD0MvbZr4,Zambia,Northern,Kaputa,29.66107,-8.534531,94574,0,50,5
chipoka,Chipoka Health Post,Oonoe6Wkgrb,Zambia,Northern,Mbala,31.36947,-8.98953,268774,3,16,7
chisamba,Chisamba ZNS Rural Health Centre,VIfMgUFMkp3,Zambia,Central,Chibombo,28.19109,-15.04242,250702,,76,
chisanga,Chisanga Clinic,VGzKa52vgM5,Zambia,Northern,Kasama,31.20195,-10.21894,306462,0,39,
chisembe,Chisembe Health Post,jKU1PFtvbW9,Zambia,Luapula,Mansa,28.91063,-11.07522,253414,0,169,4
chisenga_mbala,Chisenga Health Post,j6rtuU1urRn,Zambia,Northern,Mbala,31.60042,-8.99353,268774,0,61,0
chisenga_nchelenge,Chisenga Rural Health Centre,Ko821w8ghb4,Zambia,Luapula,Nchelenge,28.60334,-9.549225,203432,0,0,0
chishinka,Chishinka Rural Health Centre,NThKFDNBGfR,Zambia,Central,Kapiri-Mposhi,29.02764,-14.13168,301722,0,99,
chisongo,Chisongo Health Post,JF8W45EgxMC,Zambia,Luapula,Mansa,29.10828,-11.26864,253414,0,94,0
chisunka,Chisunka Rural Health Clinic,uMoQ258VC3K,Zambia,Luapula,Mansa,28.83128,-10.76594,253414,0,88,15
chitaba,Chitaba Rural Health Centre,eNtOpL8K8XV,Zambia,Central,Kapiri-Mposhi,28.34542,-14.06196,301722,0,44,1
chitakata_a,Chitakata A Health Post,uEDAKJYGBW2,Zambia,Central,Kabwe,28.418062,-14.243184,234055,0,2,
chitakata_b,Chitakata B Health Post,FC70XZDnDKB,Zambia,Central,Kabwe,28.326404,-14.228872,234055,0,6,
chitanda,Chitanda Rural Health Centre,r6fw1sjBFA2,Zambia,Central,Chibombo,27.5935,-14.63695,250702,0,672,19
chiwena,Chiwena Health Centre,ErCl7VoyXko,Zambia,Central,Mumbwa,27.26722,-14.99763,242480,0,55,1
choca,Chocha Health Post,e5Yo9xIHy3q,Zambia,Northern,Kaputa,29.83458,-8.4228,94574,0,22,6
chowa_forest,Chowa Forest Health Post,sljpNo6c5Kz,Zambia,Central,Kabwe,28.560911,-14.510613,234055,0,4,
chowa_urban,Chowa Urban Health Centre,OVmPcW7z4NG,Zambia,Central,Kabwe,28.41354,-14.44514,234055,0,18,
chulungoma,Chulungoma Urban Clinic,twKFnV4rmfn,Zambia,Northern,Mbala,31.37438,-8.84112,268774,0,54,15
chuunga,Chuunga Health Centre,OWeKGdKKLhk,Zambia,Central,Mumbwa,26.00279,-15.04792,242480,,,
namulundu,College/ Namulundu Clinic,tNHkthSUE1y,Zambia,Northern,Kasama,31.20195,-10.21894,306462,0,0,
com_dev_college,Community Development College Health Post,UHEp3K725lU,Zambia,Copperbelt,Kitwe,28.28426,-12.87483,738320,0,203,
e_garnetone,East Garnetone Urban Health Centre,ij91qpsYqDg,Zambia,Copperbelt,Kitwe,28.14353,-12.72654,738320,0,395,7
fibale,Fibale Health Post,KTCtLHFaMTO,Zambia,Luapula,Mansa,28.88874,-11.18677,253414,1,45,
fikonkonta,Fikonkonta Health Post,QN4QdREmSim,Zambia,Northern,Luwingu,29.92592,-10.2661,179554,0,96,40
fimpulu,Fimpulu Rural Health Clinic,jjQSQwNOJpv,Zambia,Luapula,Mansa,28.82681,-11.4065,253414,0,44,
fiyongoli,Fiyongoli Health Post,dl1OAR2UNxS,Zambia,Luapula,Mansa,28.90265,-11.16226,253414,0,203,
fwaka,Fwaka E8 Rural Health Centre,Qj1lLdB8Ypn,Zambia,Luapula,Samfya,29.55732,-11.37106,209209,0,37,171
garnatone,Garnatone Urban Health Centre,CNp11YcZZ08,Zambia,Copperbelt,Kitwe,28.18485,-12.73804,738320,0,196,
golden_valley,Golden Valley Rural Health Centre,VxRbwWm8rcO,Zambia,Central,Chibombo,28.09353,-14.96923,250702,0,30,
hamududu,Hamududu Health Post,SUV4SXVo7ES,Zambia,Central,Kabwe,28.42341,-14.650498,234055,0,1,
harper_anne,Harper Anne Health Centre,qNfmYxIiPz7,Zambia,Central,Chibombo,27.8135,-15.2694,250702,0,47,14
ilungu,Ilungu Health Post,dlOE2z7LodY,Zambia,Central,Kapiri-Mposhi,29.12258,-14.50683,301722,0,33,
ipongo_rural,Ipongo Rural Health Centre,kvCPReg4hbF,Zambia,Central,Chibombo,27.28957,-14.57439,250702,0,84,261
ipusukilo_luwingu,Ipusukilo Rural Health Centre,HYtANZDgo3Y,Zambia,Northern,Luwingu,29.98724,-10.47456,179554,0,101,
ipusukilo_kitwe,Ipusukilo Urban Health Centre,FBC3OBArUy5,Zambia,Copperbelt,Kitwe,28.24639,-12.77889,738320,0,1233,25
isofu,Isofu Rural Health Centre,w3OzNN7r20x,Zambia,Northern,Mbala,31.36947,-8.98953,268774,0,87,
itimpi,Itimpi Urban Health Centre,K3PhGroDkql,Zambia,Copperbelt,Kitwe,28.18485,-12.73804,738320,0,61,
itumbwe,Itumbwe Health Post,oQC6t5kvNlh,Zambia,Central,Chibombo,27.13429,-14.50497,250702,0,72,
james,James Health Post,LkRxF9dFcQd,Zambia,Luapula,Mansa,29.27769,-11.40422,253414,0,132,
kabaka,Kabaka Health Post,GwpRpQ7su4Q,Zambia,Central,Kapiri-Mposhi,28.66854,-13.71014,301722,0,30,
kabalenge,Kabalenge Rural Health Centre,IzRrLsZuJV2,Zambia,Luapula,Nchelenge,28.86139,-9.77,203432,0,32,0
kabangalala,Kabangalala Rural Health Centre,s09kUP6IVwU,Zambia,Central,Chibombo,27.7295,-15.16947,250702,0,286,38
kabongo,Kabongo Rural Health Centre,ofgYAxCAGuR,Zambia,Luapula,Samfya,29.51277,-11.76057,209209,0,73,50
kabunda,Kabunda Rural Health Clinic,WfBjEGASqua,Zambia,Luapula,Mansa,28.88251,-11.18285,253414,0,41,4
kabushi,Kabushi Urban Health Centre,Vkzv5IK8XOD,Zambia,Copperbelt,Ndola,28.64105,-12.96915,574437,0,54,0
kabuta,Kabuta Rural Health Centre,QSy75H90zB3,Zambia,Luapula,Nchelenge,28.848,-9.17453,203432,2,70,85
kabwale,Kabwale Health Post,CWC0B0TUPD6,Zambia,Central,Kapiri-Mposhi,28.66854,-13.71014,301722,0,103,
kabwanga,Kabwanga Health Centre,JaIBkjPDAxD,Zambia,Central,Mumbwa,27.02809,-14.92146,242480,0,150,25
kafinda,Kafinda Rural Health Centre,ek1V6NRohro,Zambia,Central,Kapiri-Mposhi,29.02764,-14.13168,301722,0,7,
kafulamase,Kafulamase Health Post,vTRMgjAVxth,Zambia,Central,Kabwe,28.512841,-14.484307,234055,3,10,
kafutuma,Kafutuma Rural Health Centre,I8W3SzbOJXA,Zambia,Luapula,Nchelenge,28.80734,-9.24139,203432,0,21,74
kafuula,Kafuula Health Post,SK1g49ySGjG,Zambia,Luapula,Mansa,29.36528,-11.30725,253414,0,0,
kafwikamo,Kafwikamo Health Post,HaGY8cQgUZj,Zambia,Central,Mumbwa,26.91883,-14.63221,242480,,231,
kafwimbi,Kafwimbi Health Post,CyYrAyk3kCj,Zambia,Northern,Kaputa,29.39576,-9.01965,94574,0,2,0
kaindu,Kaindu Health Centre,p8zdorIe4be,Zambia,Central,Mumbwa,26.92011,-14.53299,242480,0,73,
kaishe_mini,Kaishe Mini Hospital,xhXAhVUtGxN,Zambia,Luapula,Samfya,29.51415,-11.75192,209209,0,64,4
kaka,Kaka Rural Health Centre,u573O6FYaVn,Zambia,Northern,Mbala,31.66588,-9.01409,268774,0,62,43
kakolo_rural,Kakolo Rural Health Centre,A522Kp73wuj,Zambia,Copperbelt,Kitwe,28.21249,-12.81923,738320,0,88,
kakulu,Kakulu Rural Health Centre,t4b8Q0bn4rI,Zambia,Central,Kapiri-Mposhi,28.60043,-14.08847,301722,2,299,16
kalaba_kaputa,Kalaba Rural Health Centre,AqlzHucHSvY,Zambia,Northern,Kaputa,28.29,-15.40999,94574,0,21,6
kalaba,Kalaba Rural Health Clinic,fVkPfPUysWR,Zambia,Luapula,Mansa,29.13334,-11.07956,253414,1,82,2
kalasamukoso,Kalasamukoso Rural Health Centre,BjEn91QoxoH,Zambia,Luapula,Samfya,29.59418,-11.81826,209209,0,33,37
kale,Kale Health Post,KS5rfZpiSf6,Zambia,Luapula,Mansa,29.20156,-11.2719,253414,0,9,
kalekwa,Kalekwa Health Post,Rq2zdUFBVfN,Zambia,Northern,Mbala,31.5267,-8.8294,268774,0,15,13
kalenda,Kalenda Health Centre,gwYHfEDxXS2,Zambia,Central,Mumbwa,26.88438,-14.71205,242480,0,78,1
kalima,Kalima Health Post,oUvXBT7htQH,Zambia,Central,Kabwe,28.51431,-14.61675,234055,0,1,
kaloko,Kaloko Urban Health Centre,MNcwesa9nqY,Zambia,Copperbelt,Ndola,28.64105,-12.96915,574437,0,0,0
kaluluzi,Kaluluzi (Kasesha) Health Post,TTpgZBzXewz,Zambia,Northern,Mbala,31.38541,-8.86459,268774,1,8,6
kalwelwe,Kalwelwe Health Centre,GowNtLz9su7,Zambia,Central,Kabwe,28.349066,-14.708454,234055,0,1,
kalyongo,Kalyongo Rural Health Clinic,hh2NyHMLnsa,Zambia,Luapula,Mansa,28.40188,-11.50947,253414,1,1,
kamaila,Kamaila Health Post,kOks35bBab8,Zambia,Central,Chibombo,28.30932,-15.09631,250702,0,78,8
kamakonde,Kamakonde Urban Health Centre,W1JK1H7dyCD,Zambia,Copperbelt,Kitwe,28.14061,-12.83488,738320,0,402,12
kamakuti,Kamakuti Health Post,eilH9zGJw5e,Zambia,Central,Kabwe,28.41354,-14.44514,234055,0,29,
kambole_chansa,Kambole Chansa Health Post,meOR0aHgGjS,Zambia,Northern,Kaputa,29.67143,-8.49027,94574,,58,
kambwali,Kambwali Rural Health Centre,VLRtA0oecWL,Zambia,Luapula,Nchelenge,28.73454,-9.41382,203432,0,5,67
kamfinsa,Kamfinsa Urban Health Centre,P03KoTb0VC9,Zambia,Copperbelt,Kitwe,28.21249,-12.81923,738320,0,179,32
kamilambo,Kamilambo Health Centre,t5vyIHz047s,Zambia,Central,Mumbwa,27.13293,-14.73758,242480,0,364,
kampumba,Kampumba Rural Health Centre,RuKQaJob5IF,Zambia,Central,Kapiri-Mposhi,28.90177,-14.66386,301722,4,135,9
kamuzwazi,Kamuzwazi Health Centre,eunwTObrOfd,Zambia,Northern,Mbala,31.36947,-8.98953,268774,0,29,7
kamyanga,Kamyanga Health Post,Bs1wjF2TSlQ,Zambia,Northern,Mbala,31.30086,-8.65047,268774,2,24,0
kangomba,Kangomba Health Post,s5IWqaY3PBm,Zambia,Central,Kabwe,28.287,-15.41829,234055,0,1,
kaniki,Kaniki Urban Health Centre,vzcVYUUJuhR,Zambia,Copperbelt,Ndola,28.53238,-12.86082,574437,0,154,10
kanseke,Kanseke Health Post,dBM3YHA0ebH,Zambia,Luapula,Mansa,28.61042,-11.35494,253414,,,
kansenga,Kansenga Rural Health Clinic,WzAfHAoUktT,Zambia,Luapula,Mansa,29.10742,-11.23799,253414,,8,2
kantolomba,Kantolomba Health Post,VFQWwSS7blf,Zambia,Copperbelt,Ndola,28.60275,-13.00468,574437,0,30,
kanwanjiba,Kanwanjiba Health Post,UQstGUfsWi8,Zambia,Central,Chibombo,27.75367,-14.97354,250702,0,84,
kanyembo,Kanyembo Rural Health Centre,P1zr91YUXRN,Zambia,Luapula,Nchelenge,28.73702,-9.54828,203432,0,132,76
kapala,Kapala Health Post,E1q4x19frUZ,Zambia,Northern,Kaputa,29.862413,-8.469452,94574,0,1,0
kapambwe,Kapambwe Health Post,G39ogxQ1Gfr,Zambia,Luapula,Nchelenge,28.73648,-9.35077,203432,0,1,44
kapandwe,Kapandwe Rural Health Center,hi9jcv6XFfm,Zambia,Central,Kapiri-Mposhi,28.21449,-14.57709,301722,,,11
kapanda,Kapanda Mini Hospital,ZWtLCPkTHCp,Zambia,Luapula,Mansa,28.84636,-11.19073,253414,,,
kaparu,Kaparu Rural Health Centre,drbJ4QfdC6b,Zambia,Central,Chibombo,27.75384,-14.97384,250702,0,169,
kapata_E1,Kapata E1 Rural Health Centre,fDRbmCRUplM,Zambia,Luapula,Samfya,29.78609,-11.52,209209,0,11,5
kapata,Kapata Rural Health Centre,YX5Cu2vRa9Z,Zambia,Luapula,Samfya,29.73868,-11.63715,209209,0,12,20
kapepe,Kapepe Health Post,ksgKdKd0fjs,Zambia,Central,Mumbwa,26.66936,-15.09551,242480,0,31,12
kapepula,Kapepula Health Post,sodljrI7K4n,Zambia,Northern,Kaputa,30.09149,-8.46097,94574,0,26,9
kapila,Kapila Health Post,CC7NamNFE6W,Zambia,Central,Chibombo,28.28046,-15.18885,250702,0,135,
kapiri_urban,Kapiri Urban Health Centre,MDXfq6mzy9k,Zambia,Central,Kapiri-Mposhi,28.67838,-13.96673,301722,0,216,
kapisha,Kapisha Health Post,lv58NjFVtBo,Zambia,Luapula,Mansa,29.30445,-11.34178,253414,0,21,
kapiri_mposhi,Kapiri Mposhi District Hospital,H0mhX4hUAZY,Zambia,Central,Kapiri-Mposhi,28.67773,-13.96662,301722,,,
kapompwa,Kapompwa Health Post,ZDnZCIRJeSE,Zambia,Luapula,Mansa,29.0945,-11.27141,253414,0,197,3
kapopo,Kapopo Health Post,kNpkO7r8Pzm,Zambia,Central,Chibombo,28.23978,-15.39659,250702,1,153,
kaputa,Kaputa Rural Health Centre,xjmW5kez7T3,Zambia,Northern,Kaputa,29.663454,-8.469901,94574,0,48,5
kasakula,Kasakula Rural Health Centre,gSs5a46lAIc,Zambia,Northern,Kasama,30.72684,-10.51409,306462,0,15,16
kasama_hp,Kasama Health Post,BTPzz67xJ93,Zambia,Northern,Kasama,31.19354,-10.1991,306462,,3,
kasama_urban,Kasama Urban Clinic,efE5CmHyTqg,Zambia,Northern,Kasama,31.18373,-10.20515,306462,0,27,11
kasamba,Kasamba Health Post,q3XYQU9suhl,Zambia,Luapula,Mansa,28.89743,-11.2017,253414,0,10,
kasanda,Kasanda Urban Health Centre,DQIOCvrqZDg,Zambia,Central,Kabwe,28.4268,-14.43645,234055,0,34,
kasanka,Kasanka Rural Health Centre,kKXh6a17CSw,Zambia,Luapula,Samfya,29.51292,-11.9678,209209,0,75,28
kasavasa,Kasavasa Rural Health Centre,mkNZHjUjz65,Zambia,Central,Kabwe,28.377851,-14.577486,234055,0,2,
kasepa,Kasepa Health Post,xKzTFw3w44J,Zambia,Northern,Kaputa,29.61899,-8.54991,94574,0,13,110
kashikishi,Kashikishi Hospital Affiliated Health Centre,RR560L7ZOy5,Zambia,Luapula,Nchelenge,28.74942,-9.3187,203432,0,29,76
kasanse,Kasanse Health Post,a2sdqITPtCG,Zambia,Luapula,Mansa,29.53815,-11.2845,253414,,,
kashinka,Kashinka Health Post,D92S9i4iPYR,Zambia,Central,Mumbwa,26.98691,-14.97267,242480,2,102,
kasama_kashinka,Kashinka Health Post,uqBSy69CUPF,Zambia,Northern,Kasama,30.90182,-10.41753,306462,2,102,
kasomabangweulu,Kasomabangweulu Rural Health Centre,uVl9DuANQp0,Zambia,Luapula,Samfya,29.55622,-11.44441,209209,1,11,0
kasonde_chisuna,Kasonde Chisuna Health Post,XV9pSCMo1ej,Zambia,Northern,Kasama,31.047148,-10.28301,306462,0,2,21
kasonde_kombo,Kasonde Kombo-Kombo Health Post,JVyMx0PZsp8,Zambia,Northern,Luwingu,30.23292,-10.75551,179554,0,39,
kasonde_mutokwa,Kasonde Mutokwa Health Post,cJXVpe43f0F,Zambia,Northern,Kasama,31.177,-10.22328,306462,2,1,7
kasangole,Kasongole Rural Health Centre,SbgeurMfLQ4,Zambia,Northern,Kaputa,29.480985,-8.891828,94574,0,14,8
kasumpa,Kasumpa Health Post,TRpRj0eFX2S,Zambia,Luapula,Nchelenge,28.75709,-9.69127,203432,2,24,35
kasunga,Kasunga Health Post,yxmx845Izhk,Zambia,Northern,Luwingu,30.60844,-10.83864,179554,0,115,52
kasunga_mbala,Kasunga Health facility,y2ZN4Jo5sQW,Zambia,Northern,Mbala,31.5267,-8.8294,268774,0,28,1
kasungwe,Kasungwe Health Post,c9g0Va5HPVD,Zambia,Northern,Kaputa,29.69768,-8.40908,94574,0,20,
kaswende,Kaswende Rural Health Post,uLTBBmpIl4r,Zambia,Central,Kapiri-Mposhi,28.00405,-14.35154,301722,0,140,
katangwe,Katangwe Rural Health Clinic,TXu72PvHrN2,Zambia,Luapula,Mansa,28.97817,-11.28684,253414,0,86,
katanshya,Katanshya Rural Health Centre,h7FQnC4ZbHW,Zambia,Luapula,Samfya,29.72281,-11.45661,209209,2,15,3
kateshi,Kateshi Rural Health Centre,oiiypZYb1XN,Zambia,Northern,Kasama,31.39524,-9.09797,306462,0,14,1
katito,Katito Health Facility,JDxlON5KLqU,Zambia,Northern,Mbala,31.35794,-9.06113,268774,0,27,8
kato,Kato Health Post,efuTeUk85uR,Zambia,Central,Kapiri-Mposhi,28.19329,-14.39635,301722,0,28,10
katondo,Katondo Health Centre,RJ0EiF0KofB,Zambia,Copperbelt,Ndola,28.65081,-12.97039,574437,0,114,4
katondo_uhc,Katondo Urban Health Centre,nWrXUYaXW09,Zambia,Central,Kabwe,28.45354,-14.44858,234055,0,2,
kawam_ndola,Kawama (Ndola) Urban Health Centre,Pcd2UByO7NW,Zambia,Copperbelt,Ndola,28.62848,-12.93458,574437,0,50,0
kawama_kipiri,Kawama Urban Health Centre,aJWN8Ehn1f9,Zambia,Central,Kapiri-Mposhi,28.68936,-13.98774,301722,1,2756,2
kawama_kitwe,Kawama Urban Health Centre,KR5SVdUhsRJ,Zambia,Copperbelt,Kitwe,28.6099,-12.93994,738320,1,2756,2
kawama_kabwe,Kawama Urban Health Centre,UBwLCGKGqjY,Zambia,Central,Kabwe,28.42835,-14.42057,234055,1,2756,2
kawimbe,Kawimbe Rural Health Centre,r0FyFvkpWKX,Zambia,Northern,Mbala,31.5267,-8.8294,268774,0,40,3
kayosha,Kayosha Rural Health Centre,gN24sANR1u8,Zambia,Central,Chibombo,28.23731,-15.20374,250702,0,328,
kayumweyumwe,Kayumweyumwe Rural Health Facility,FWnRSHGdFhF,Zambia,Central,Mumbwa,26.9663,-15.20051,242480,,86,
keembe,Keembe Rural Health Centre,Ux0Pvfv59L1,Zambia,Central,Chibombo,27.78012,-14.90237,250702,0,170,9
keezwa,Keezwa Health Centre,B6cNuOi9W1D,Zambia,Central,Mumbwa,27.45339,-15.38963,242480,0,220,7
kefulwa,Kefulwa Health Post,UAzFLkvMmSZ,Zambia,Luapula,Nchelenge,28.94673,-9.10946,203432,2,226,70
kilwa,Kilwa Rural Health Centre,VExEwwTADyR,Zambia,Luapula,Nchelenge,28.738772,-9.314787,203432,0,0,0
kitumba,Kitumba Rural Health Facility,HFDYOHYwpHn,Zambia,Central,Mumbwa,26.81981,-14.75856,242480,,11,
kohima,Kohima Camp Hospital,wQSqVTmtoTV,Zambia,Central,Kabwe,28.47902,-14.40043,234055,,5,
Kosamu,Kosamu Mini Hospital,lrnc7HBW0dg,Zambia,Luapula,Mansa,28.42813,-11.47773,253414,0,10,
laurent_chita,Laurent Chita Health Post,nSc7yFL2t65,Zambia,Northern,Luwingu,30.21435,-10.28999,179554,0,112,25
likumbi,Likumbi Health Post,nMY11KDwxUH,Zambia,Central,Kapiri-Mposhi,28.94339,-14.38621,301722,0,17,
location_urban,Location Urban Clinic,o1NBAknIvfS,Zambia,Northern,Kasama,31.97,-10.272,306462,0,41,0
lofoi,Lofoi Mini Hospital,QSLsNLvq9jt,Zambia,Luapula,Mansa,28.46561,-11.35395,253414,0,2,
luamfumu,Luamfumu Rural Health Centre,vpOm05NQB11,Zambia,Luapula,Mansa,28.80722,-10.78448,253414,,170,2
luangwa_kitwe,Luangwa Urban Health Centre,R9TeC3PLjpA,Zambia,Copperbelt,Kitwe,28.28426,-12.87483,738320,0,803,15
luanshimba,Luanshimba Rural Health Centre,nKr22x0JnhZ,Zambia,Central,Kapiri-Mposhi,28.56005,-14.29404,301722,1,129,
lubemba,Lubemba Health Post,DtVDH881WXO,Zambia,Central,Mumbwa,27.04638,-15.00845,242480,,130,
lubende,Lubende Rural Health Clinic,JxVZOfkK5LJ,Zambia,Luapula,Mansa,29.28538,-11.27699,253414,1,108,4
lubushi,Lubushi Rural Health Centre,LU0pIdcuLpB,Zambia,Northern,Kasama,30.451655,-10.243497,306462,0,2,23
luena,Luena Rural Health Centre,apYbJIIOwa8,Zambia,Northern,Luwingu,30.20775,-10.65179,179554,0,78,0
luili,Luili Health Centre,CcsFy4KIMxp,Zambia,Central,Mumbwa,27.19035,-15.16102,242480,0,129,
luka,Luka Health Post,wfNhEmi9rGv,Zambia,Northern,Mbala,31.64208,-8.91067,268774,0,3,4
lukali,Lukali Health Post,MsMHXKONIrE,Zambia,Luapula,Mansa,29.14578,-11.27498,253414,,14,
lukashya,Lukashya Clinic,NMLTAkQd0Qf,Zambia,Northern,Kasama,31.222,-10.2136,306462,0,37,1
lukomba,Lukomba Health Post,gsl8GHWQrgM,Zambia,Central,Kapiri-Mposhi,28.67111,-13.89551,301722,2,113,
lukupa,Lukupa Rural Health Centre,YxEdXolgVR5,Zambia,Northern,Kasama,31.19354,-10.1991,306462,,18,6
lunchu,Lunchu B Rural Health Centre,QiGmcPLvlg2,Zambia,Central,Kapiri-Mposhi,28.87544,-13.94501,301722,0,37,3
lungobe,Lungobe Health Centre,C3Cu5RebZrI,Zambia,Central,Mumbwa,26.82175,-15.01553,242480,0,540,7
